,history,ys
1327_2016-04-30_23_1,162,163.06547217156577
1327_2016-04-30_23_2,121,170.4474126474016
1327_2016-04-30_23_3,91,135.96103197199
1327_2016-04-30_23_4,43,94.71766510142815
1327_2016-04-30_23_5,31,60.13923733003854
1327_2016-04-30_23_6,14,13.622554532987818
1327_2016-05-01_0_1,121,169.48223061687432
1327_2016-05-01_0_2,91,135.0867000307965
1327_2016-05-01_0_3,43,93.92563176552615
1327_2016-05-01_0_4,31,59.42175604447125
1327_2016-05-01_0_5,14,12.972607905990051
1327_2016-05-01_0_6,2,5.534935638756243
1327_2016-05-01_1_1,91,91.16797644506488
1327_2016-05-01_1_2,43,54.14086409172698
1327_2016-05-01_1_3,31,23.38182569976498
1327_2016-05-01_1_4,14,-19.674976966214032
1327_2016-05-01_1_5,2,-24.039616470341507
1327_2016-05-01_1_6,3,-25.39858227894527
1327_2016-05-01_2_1,43,53.98869883518141
1327_2016-05-01_2_2,31,23.24398336543866
1327_2016-05-01_2_3,14,-19.799844557961812
1327_2016-05-01_2_4,2,-24.15273059848721
1327_2016-05-01_2_5,3,-25.50104926663257
1327_2016-05-01_2_6,5,-24.685034229813176
1327_2016-05-01_3_1,31,13.289622343501474
1327_2016-05-01_3_2,14,-28.817227311033363
1327_2016-05-01_3_3,2,-32.321330424854395
1327_2016-05-01_3_4,3,-32.900759908902614
1327_2016-05-01_3_5,5,-31.38822923914393
1327_2016-05-01_3_6,12,-28.280651716846844
1327_2016-05-01_4_1,14,-12.773881718267766
1327_2016-05-01_4_2,2,-17.788103477293127
1327_2016-05-01_4_3,3,-19.735508042448792
1327_2016-05-01_4_4,5,-19.46218849591792
1327_2016-05-01_4_5,12,-17.477178357442153
1327_2016-05-01_4_6,22,-14.36910080353352
1327_2016-05-01_5_1,2,6.465621970982964
1327_2016-05-01_5_2,3,2.235276930392782
1327_2016-05-01_5_3,5,0.44054328655765573
1327_2016-05-01_5_4,12,0.5521607351215341
