,history,ys
1176_2016-04-30_23_1,64,57.96362730141459
1176_2016-04-30_23_2,57,64.8829873022826
1176_2016-04-30_23_3,77,57.41233626002543
1176_2016-04-30_23_4,39,40.332867156773375
1176_2016-04-30_23_5,18,29.312407591480348
1176_2016-04-30_23_6,5,12.636573755618492
1176_2016-05-01_0_1,57,70.58114558966369
1176_2016-05-01_0_2,77,62.79123009069609
1176_2016-05-01_0_3,39,45.410384730425136
1176_2016-05-01_0_4,18,34.10543484249934
1176_2016-05-01_0_5,5,17.16105050942092
1176_2016-05-01_0_6,7,11.069787873234747
1176_2016-05-01_1_1,77,49.971028098859705
1176_2016-05-01_1_2,39,33.308491114280244
1176_2016-05-01_1_3,18,22.681603206324777
1176_2016-05-01_1_4,5,6.377289439371509
1176_2016-05-01_1_5,7,0.8902345920333392
1176_2016-05-01_1_6,9,-0.7071748134853362
1176_2016-05-01_2_1,39,58.823045620493225
1176_2016-05-01_2_2,18,46.76659223334171
1176_2016-05-01_2_3,5,29.11281070000222
1176_2016-05-01_2_4,7,22.35189797135905
1176_2016-05-01_2_5,9,19.552004192235536
1176_2016-05-01_2_6,18,19.94127303245395
1176_2016-05-01_3_1,18,28.054220197397456
1176_2016-05-01_3_2,5,11.448881861055398
1176_2016-05-01_3_3,7,5.677668673863556
1176_2016-05-01_3_4,9,3.812022153107595
1176_2016-05-01_3_5,18,5.083192927409312
1176_2016-05-01_3_6,21,6.800966855634716
1176_2016-05-01_4_1,5,1.95799370658799
1176_2016-05-01_4_2,7,-3.2814506006403246
1176_2016-05-01_4_3,9,-4.645122938946349
1176_2016-05-01_4_4,18,-2.900103300334319
1176_2016-05-01_4_5,21,-0.7350299809085232
1176_2016-05-01_4_6,16,4.84858103491397
1176_2016-05-01_5_1,7,-0.4098861302865995
1176_2016-05-01_5_2,9,-1.9344505365730367
1176_2016-05-01_5_3,18,-0.34130827802259667
1176_2016-05-01_5_4,21,1.6803972615995288
1176_2016-05-01_5_5,16,7.128673309979876
1176_2016-05-01_5_6,23,12.17622286702076
1176_2016-05-01_6_1,9,5.060264032946087
1176_2016-05-01_6_2,18,6.261496549040343
1176_2016-05-01_6_3,21,7.913250818522139
1176_2016-05-01_6_4,16,13.012303748791952
1176_2016-05-01_6_5,23,17.7301969535879
1176_2016-05-01_6_6,32,19.63308041374279
1176_2016-05-01_7_1,18,9.980491427541219
