,params,aic,training_time
0,"(0, 0, 0, 0)",58706.492015623444,2.3459999561309814
1,"(0, 0, 0, 1)",54874.4931274852,18.485999822616577
2,"(0, 0, 1, 0)",50918.60017294158,9.136000156402588
3,"(0, 0, 1, 1)",46958.461388603195,62.360000133514404
4,"(0, 1, 0, 0)",53740.205170297864,2.015000104904175
5,"(0, 1, 0, 1)",51721.827573858085,40.32800006866455
6,"(0, 1, 1, 0)",49648.70897300661,18.396000146865845
7,"(0, 1, 1, 1)",46039.356935768235,86.10500001907349
8,"(0, 2, 0, 0)",51570.94392038373,3.312000036239624
9,"(0, 2, 0, 1)",50288.62723550108,68.70499992370605
10,"(0, 2, 1, 0)",49056.28404318941,25.761000156402588
11,"(0, 2, 1, 1)",45754.04310204073,148.989000082016
12,"(1, 0, 0, 0)",48240.97490213942,0.6449999809265137
13,"(1, 0, 0, 1)",48074.0590221096,29.144999980926514
14,"(1, 0, 1, 0)",48013.77272865416,25.125
15,"(1, 0, 1, 1)",45701.892703978425,60.125
16,"(1, 1, 0, 0)",45996.19098891532,3.5989999771118164
17,"(1, 1, 0, 1)",45925.13555478243,60.806999921798706
18,"(1, 1, 1, 0)",45914.52453303198,52.33999991416931
19,"(1, 1, 1, 1)",45374.54257823837,98.44999980926514
20,"(1, 2, 0, 0)",45789.08170463154,6.678999900817871
21,"(1, 2, 0, 1)",45741.51061906539,114.95099997520447
22,"(1, 2, 1, 0)",45734.90032845727,79.55800008773804
23,"(1, 2, 1, 1)",45373.05017091052,246.02699995040894
24,"(2, 0, 0, 0)",47012.20633967302,1.564000129699707
25,"(2, 0, 0, 1)",46904.63629954328,51.437999963760376
26,"(2, 0, 1, 0)",46880.24111074149,38.00499987602234
27,"(2, 0, 1, 1)",45483.95210097903,96.10899996757507
28,"(2, 1, 0, 0)",45614.59938650721,9.2260000705719
29,"(2, 1, 0, 1)",45564.857019601644,137.55100011825562
30,"(2, 1, 1, 0)",45559.155953606285,108.16599988937378
31,"(2, 1, 1, 1)",45447.12083977893,162.97000002861023
32,"(2, 2, 0, 0)",45398.6450869791,17.26099991798401
33,"(2, 2, 0, 1)",45339.01709906063,207.6600000858307
34,"(2, 2, 1, 0)",45332.507575909345,164.68300008773804
35,"(2, 2, 1, 1)",45377.28947806573,143.99500012397766
