,params,aic,training_time
0,"(0, 0, 0, 0)",76998.58303884826,3.2859997749328613
1,"(0, 0, 0, 1)",71693.65361546136,29.127000093460083
2,"(0, 0, 1, 0)",65242.50184311722,15.97700023651123
3,"(0, 0, 1, 1)",60964.35161944114,138.66300010681152
4,"(0, 1, 0, 0)",70592.47198063621,3.078000068664551
5,"(0, 1, 0, 1)",67840.58614439072,43.138999938964844
6,"(0, 1, 1, 0)",64201.17500333402,32.72000002861023
7,"(0, 1, 1, 1)",59967.27213443942,138.28600001335144
8,"(0, 2, 0, 0)",67659.93453954726,5.687000036239624
9,"(0, 2, 0, 1)",66038.61542105199,92.53000020980835
10,"(0, 2, 1, 0)",63878.357391823054,53.79800009727478
11,"(0, 2, 1, 1)",59786.17829324583,199.1840000152588
12,"(1, 0, 0, 0)",62399.36634968953,1.0230000019073486
13,"(1, 0, 0, 1)",62353.887119888735,49.0939998626709
14,"(1, 0, 1, 0)",62347.08586258843,61.64200019836426
15,"(1, 0, 1, 1)",59716.90639547541,116.9760000705719
16,"(1, 1, 0, 0)",59983.42449959662,6.17300009727478
17,"(1, 1, 0, 1)",59949.15934328299,92.5239999294281
18,"(1, 1, 1, 0)",59947.32378194376,88.30400013923645
19,"(1, 1, 1, 1)",59598.96244918595,218.45800018310547
20,"(1, 2, 0, 0)",59517.96719498578,10.677000045776367
21,"(1, 2, 0, 1)",59503.035148995456,164.59100008010864
22,"(1, 2, 1, 0)",59502.531005457626,150.8899998664856
23,"(1, 2, 1, 1)",59491.069464031556,220.81900000572205
24,"(2, 0, 0, 0)",61328.93897221952,2.425999879837036
25,"(2, 0, 0, 1)",61294.97925871831,73.73399996757507
26,"(2, 0, 1, 0)",61292.66538028527,78.72499990463257
27,"(2, 0, 1, 1)",59653.660088157034,160.2630000114441
28,"(2, 1, 0, 0)",59431.910803929924,12.405999898910522
29,"(2, 1, 0, 1)",59416.75934548557,194.62400007247925
30,"(2, 1, 1, 0)",59416.52221328667,173.37900018692017
31,"(2, 1, 1, 1)",59415.468296669686,237.42400002479553
32,"(2, 2, 0, 0)",59401.85380931289,22.15000009536743
33,"(2, 2, 0, 1)",59377.63041768962,289.62000012397766
34,"(2, 2, 1, 0)",59377.095556318025,229.20899987220764
35,"(2, 2, 1, 1)",59436.99262732434,463.60399985313416
