,params,aic,training_time
0,"(0, 0, 0, 0)",100129.50817885519,3.377000093460083
1,"(0, 0, 0, 1)",91511.25234158796,31.947999954223633
2,"(0, 0, 1, 0)",76319.51170232301,19.562000036239624
3,"(0, 0, 1, 1)",73994.12345638666,74.31000018119812
4,"(0, 1, 0, 0)",90799.90225434735,4.186000108718872
5,"(0, 1, 0, 1)",85304.32025314796,52.700000047683716
6,"(0, 1, 1, 0)",74731.83989665621,56.37899994850159
7,"(0, 1, 1, 1)",71657.9870124951,137.95000004768372
8,"(0, 2, 0, 0)",85314.82868261877,4.901000022888184
9,"(0, 2, 0, 1)",81710.30949149864,67.16100001335144
10,"(0, 2, 1, 0)",74144.41794567871,73.16599988937378
11,"(0, 2, 1, 1)",70844.85266112832,217.52600002288818
12,"(1, 0, 0, 0)",72102.19239121467,1.1420001983642578
13,"(1, 0, 0, 1)",71907.3914037322,79.80099987983704
14,"(1, 0, 1, 0)",71875.0880531274,76.43899989128113
15,"(1, 0, 1, 1)",70223.43179334125,144.24000000953674
16,"(1, 1, 0, 0)",70614.13402120589,6.0929999351501465
17,"(1, 1, 0, 1)",70204.23322758621,95.1710000038147
18,"(1, 1, 1, 0)",70127.67662280462,101.67900013923645
19,"(1, 1, 1, 1)",69758.04983004079,198.63100004196167
20,"(1, 2, 0, 0)",70369.54463658785,9.269000053405762
21,"(1, 2, 0, 1)",69987.16493770335,180.14800000190735
22,"(1, 2, 1, 0)",69919.0199463924,116.30200004577637
23,"(1, 2, 1, 1)",69811.75975084813,179.71900010108948
24,"(2, 0, 0, 0)",71131.34085674706,1.3540000915527344
25,"(2, 0, 0, 1)",70819.11844304952,114.1859998703003
26,"(2, 0, 1, 0)",70765.40782919506,106.7039999961853
27,"(2, 0, 1, 1)",69875.48180410246,162.72099995613098
28,"(2, 1, 0, 0)",70033.45908709262,10.825000047683716
29,"(2, 1, 0, 1)",69744.98070884211,151.28200006484985
30,"(2, 1, 1, 0)",69703.6533683525,192.50099992752075
31,"(2, 1, 1, 1)",69613.63474228502,168.41299986839294
32,"(2, 2, 0, 0)",69920.50287977295,19.542999982833862
33,"(2, 2, 0, 1)",69584.90389822057,234.393000125885
34,"(2, 2, 1, 0)",69536.18825292964,191.11999988555908
35,"(2, 2, 1, 1)",69505.67892779416,269.1319999694824
