,params,aic,training_time
0,"(0, 0, 0, 0)",127703.07801448462,3.200000047683716
1,"(0, 0, 0, 1)",118147.00958779812,44.01900005340576
2,"(0, 0, 1, 0)",97985.29377400986,25.41599988937378
3,"(0, 0, 1, 1)",96327.11364325222,82.8270001411438
4,"(0, 1, 0, 0)",116952.30435684175,4.452999830245972
5,"(0, 1, 0, 1)",109893.56326189665,78.71800017356873
6,"(0, 1, 1, 0)",94356.53626677167,135.24699997901917
7,"(0, 1, 1, 1)",91755.1481180165,211.41600012779236
8,"(0, 2, 0, 0)",109610.89253411716,9.415000200271606
9,"(0, 2, 0, 1)",104586.68883836437,173.70300006866455
10,"(0, 2, 1, 0)",93216.47075617975,115.86099982261658
11,"(1, 0, 0, 0)",90001.85365555121,0.809999942779541
12,"(1, 0, 0, 1)",89638.75851259494,120.6780002117157
13,"(1, 0, 1, 0)",89558.06634956165,149.6289999485016
14,"(1, 0, 1, 1)",88670.93513716268,156.21600008010864
15,"(1, 1, 0, 0)",89829.6757496407,2.4670000076293945
16,"(1, 1, 0, 1)",89360.53116987493,140.5130000114441
17,"(1, 1, 1, 0)",89246.86263635996,123.11400008201599
18,"(1, 1, 1, 1)",88662.58922812282,211.3050000667572
19,"(1, 2, 0, 0)",89593.64487018593,11.229000091552734
20,"(1, 2, 0, 1)",89106.15638351548,225.81399989128113
21,"(1, 2, 1, 0)",88994.43591028488,105.8490002155304
22,"(1, 2, 1, 1)",88863.04256639857,237.78600001335144
23,"(2, 0, 0, 0)",89876.1907005381,1.2239999771118164
24,"(2, 0, 0, 1)",89440.8270267946,157.364000082016
25,"(2, 0, 1, 0)",89337.57658970916,205.5220000743866
26,"(2, 0, 1, 1)",88661.79923604231,246.7739999294281
27,"(2, 2, 0, 0)",88848.63154248835,23.842999935150146
28,"(2, 2, 0, 1)",88443.87694826677,306.67700004577637
29,"(2, 2, 1, 0)",88375.63461099732,239.95700001716614
30,"(2, 2, 1, 1)",88290.178781773,322.81900000572205
