,params,aic,training_time
0,"(0, 0, 0, 0)",84063.02473547428,2.3309998512268066
1,"(0, 0, 0, 1)",79772.3287485466,25.789999961853027
2,"(0, 0, 1, 0)",75992.3659908043,19.118000030517578
3,"(0, 0, 1, 1)",73089.50443373543,61.14400005340576
4,"(0, 1, 0, 0)",77098.1305034073,2.5239999294281006
5,"(0, 1, 0, 1)",74679.37354979306,46.55999994277954
6,"(0, 1, 1, 0)",72558.47333472999,28.240000009536743
7,"(0, 1, 1, 1)",69612.40760086654,113.57000017166138
8,"(0, 2, 0, 0)",73759.60205943818,4.107000112533569
9,"(0, 2, 0, 1)",72299.05884938064,62.87700009346008
10,"(0, 2, 1, 0)",71119.53728418115,35.73799991607666
11,"(0, 2, 1, 1)",68427.6463607181,156.44600009918213
12,"(1, 0, 0, 0)",68989.86027877161,1.066999912261963
13,"(1, 0, 0, 1)",68817.82292313868,64.83699989318848
14,"(1, 0, 1, 0)",68784.59937003805,39.907999992370605
15,"(1, 0, 1, 1)",67744.03230949651,83.8769998550415
16,"(1, 1, 0, 0)",68823.35635209456,2.491000175476074
17,"(1, 1, 0, 1)",68624.96813698807,81.77499985694885
18,"(1, 1, 1, 0)",68590.13937705071,51.22199988365173
19,"(1, 1, 1, 1)",67722.42122868754,117.31699991226196
20,"(1, 2, 0, 0)",68722.34567954707,8.01200008392334
21,"(1, 2, 0, 1)",68527.10964228088,121.03499984741211
22,"(1, 2, 1, 0)",68494.33022429555,78.53800010681152
23,"(1, 2, 1, 1)",67724.39454086857,172.59899997711182
24,"(2, 0, 0, 0)",68852.86885390453,3.184000015258789
25,"(2, 0, 0, 1)",68659.19966599892,92.85000014305115
26,"(2, 0, 1, 0)",68624.50354990915,71.8199999332428
27,"(2, 0, 1, 1)",67722.45378581878,130.72499990463257
28,"(2, 1, 0, 0)",67974.15955294849,15.734999895095825
29,"(2, 1, 0, 1)",67819.4575050444,248.5110001564026
30,"(2, 1, 1, 0)",67803.70609407482,207.12400007247925
31,"(2, 1, 1, 1)",67637.57905962571,212.46000003814697
