,params,aic,training_time
0,"(0, 0, 0, 0)",119667.48591619171,2.4880001544952393
1,"(0, 0, 0, 1)",110760.62937083057,35.67900013923645
2,"(0, 0, 1, 0)",93200.84239422264,19.48200011253357
3,"(0, 0, 1, 1)",90885.12262266564,91.05399990081787
4,"(0, 1, 0, 0)",109554.42752827585,3.5290000438690186
5,"(0, 1, 0, 1)",103082.80545784922,51.02499985694885
6,"(0, 1, 1, 0)",90153.97214199178,80.4779999256134
7,"(0, 1, 1, 1)",87264.59919482001,102.76300001144409
8,"(0, 2, 0, 0)",102944.35356241625,6.2799999713897705
9,"(0, 2, 0, 1)",98600.10663706981,93.2829999923706
10,"(0, 2, 1, 0)",89211.78038432055,97.42600011825562
11,"(0, 2, 1, 1)",86126.03569599464,131.4340000152588
12,"(1, 0, 0, 0)",87509.91493965982,0.751000165939331
13,"(1, 0, 0, 1)",86885.64959967365,123.97200012207031
14,"(1, 0, 1, 0)",86661.70370984967,111.54200005531311
15,"(1, 0, 1, 1)",85245.717299342,96.92799997329712
16,"(1, 1, 0, 0)",87256.76953931543,5.687999963760376
17,"(1, 1, 0, 1)",86471.30041489188,146.84999990463257
18,"(1, 1, 1, 0)",86171.7156164924,92.23099994659424
19,"(1, 1, 1, 1)",85204.89325525769,151.8789999485016
20,"(1, 2, 0, 0)",86983.31767677786,7.369999885559082
21,"(1, 2, 0, 1)",86190.60946248846,211.09299993515015
22,"(1, 2, 1, 0)",85902.07469330919,91.86899995803833
23,"(1, 2, 1, 1)",85204.35562798215,241.8019998073578
24,"(2, 0, 0, 0)",87331.75290929331,1.055999994277954
25,"(2, 0, 0, 1)",86598.47837842778,162.90900015830994
26,"(2, 0, 1, 0)",86323.45139943858,241.4340000152588
27,"(2, 0, 1, 1)",85207.78708052216,155.8399999141693
28,"(2, 2, 0, 0)",86093.40098845608,21.507000207901
29,"(2, 2, 0, 1)",85425.04100970714,260.1470000743866
30,"(2, 2, 1, 0)",85214.26642751889,199.99899983406067
31,"(2, 2, 1, 1)",84849.71928369172,259.03600001335144
