,params,aic,training_time
0,"(0, 0, 0, 0)",112017.30384546805,2.5220000743865967
1,"(0, 0, 0, 1)",103648.022108987,27.467999935150146
2,"(0, 0, 1, 0)",88951.62070425501,15.953999996185303
3,"(0, 0, 1, 1)",85121.5329137199,67.31599998474121
4,"(0, 1, 0, 0)",103712.93889525214,3.065999984741211
5,"(0, 1, 0, 1)",98623.52068562675,56.20700001716614
6,"(0, 1, 1, 0)",88530.22889435707,55.35899996757507
7,"(0, 1, 1, 1)",84518.03883700499,141.0310001373291
8,"(0, 2, 0, 0)",99087.08882395021,5.937999963760376
9,"(0, 2, 0, 1)",95596.48661733634,75.70899987220764
10,"(0, 2, 1, 0)",88293.03609619889,67.70300006866455
11,"(0, 2, 1, 1)",84255.90958887461,113.26599979400635
12,"(1, 0, 0, 0)",88417.76850904172,0.6140000820159912
13,"(1, 0, 0, 1)",88127.3696074194,74.71799993515015
14,"(1, 0, 1, 0)",88041.57270423572,95.2350001335144
15,"(1, 0, 1, 1)",84298.85350936187,140.76700019836426
16,"(1, 1, 0, 0)",84617.63294389562,6.769999980926514
17,"(1, 1, 0, 1)",84269.18823696973,130.2130000591278
18,"(1, 1, 1, 0)",84189.02353490288,127.19299983978271
19,"(1, 1, 1, 1)",83728.98257385808,129.2079999446869
20,"(1, 2, 0, 0)",84477.32488083447,13.250999927520752
21,"(1, 2, 0, 1)",84166.73319885097,75.57699990272522
22,"(1, 2, 1, 0)",84095.91748279227,96.375
23,"(1, 2, 1, 1)",83654.32997329383,121.49699997901917
24,"(2, 0, 0, 0)",86545.96076234548,1.1410000324249268
25,"(2, 0, 0, 1)",86225.61775326215,109.8600001335144
26,"(2, 0, 1, 0)",86138.45481774602,125.0939998626709
27,"(2, 0, 1, 1)",84051.56657383918,226.885999917984
28,"(2, 1, 0, 0)",84454.6888977018,10.614000082015991
29,"(2, 1, 0, 1)",84144.8714403033,161.7810001373291
30,"(2, 1, 1, 0)",84078.80549920269,160.13900017738342
31,"(2, 1, 1, 1)",83639.66541613579,175.875
