,params,aic,training_time
0,"(0, 0, 0, 0)",68462.94884425586,2.430999994277954
1,"(0, 0, 0, 1)",63502.513152965985,21.01699995994568
2,"(0, 0, 1, 0)",57638.216863284404,10.936999797821045
3,"(0, 0, 1, 1)",55075.61694658383,27.719000101089478
4,"(0, 1, 0, 0)",65498.62616019465,2.121999979019165
5,"(0, 1, 0, 1)",61904.91021702856,34.18300008773804
6,"(0, 1, 1, 0)",57546.20628105452,27.766000032424927
7,"(0, 1, 1, 1)",55073.64714416914,56.367000102996826
8,"(0, 2, 0, 0)",64245.97900397214,3.6700000762939453
9,"(0, 2, 0, 1)",61135.23057089302,45.28399991989136
10,"(0, 2, 1, 0)",57494.90896353722,39.10599994659424
11,"(0, 2, 1, 1)",55058.08919326911,87.73899984359741
12,"(1, 0, 0, 0)",62737.00692254327,0.7780001163482666
13,"(1, 0, 0, 1)",60547.817434846824,34.581000089645386
14,"(1, 0, 1, 0)",57527.21468816891,38.717000007629395
15,"(1, 0, 1, 1)",55073.25547449429,49.59499979019165
16,"(2, 0, 0, 0)",60955.95953533755,1.378999948501587
17,"(2, 0, 0, 1)",59234.793916868875,50.12599992752075
18,"(2, 0, 1, 0)",57432.89960662263,60.10900020599365
19,"(2, 0, 1, 1)",55055.29524908614,71.68799996376038
