,history,ys
1387_2016-04-30_23_1,38,49.80305763500749
1387_2016-04-30_23_2,33,36.98550667544297
1387_2016-04-30_23_3,23,27.966088432290903
1387_2016-04-30_23_4,17,21.473355943357014
1387_2016-04-30_23_5,17,18.767993763391097
1387_2016-04-30_23_6,12,16.493779056617917
1387_2016-05-01_0_1,33,31.787449642174764
1387_2016-05-01_0_2,23,25.245999047918666
1387_2016-05-01_0_3,17,19.684256728152413
1387_2016-05-01_0_4,17,17.33001176501159
1387_2016-05-01_0_5,12,15.18954949496432
1387_2016-05-01_0_6,20,20.399193647576045
1387_2016-05-01_1_1,23,25.780005244498703
1387_2016-05-01_1_2,17,19.963696637566628
1387_2016-05-01_1_3,17,17.513809299571363
1387_2016-05-01_1_4,12,15.33727609603672
1387_2016-05-01_1_5,20,20.53317960872044
1387_2016-05-01_1_6,47,26.114808556196433
1387_2016-05-01_2_1,17,18.739384577035047
1387_2016-05-01_2_2,17,16.873139484350613
1387_2016-05-01_2_3,12,14.91588484683656
1387_2016-05-01_2_4,20,20.194487922158398
1387_2016-05-01_2_5,47,25.807619933252386
1387_2016-05-01_2_6,45,29.208631605780376
1387_2016-05-01_3_1,17,16.107115923862466
1387_2016-05-01_3_2,12,14.515032655002729
1387_2016-05-01_3_3,20,19.93083322538877
1387_2016-05-01_3_4,47,25.595708427998293
1387_2016-05-01_3_5,45,29.016430834200236
1387_2016-05-01_3_6,81,46.25569979947552
1387_2016-05-01_4_1,12,14.908258079751489
1387_2016-05-01_4_2,20,20.13660401564343
1387_2016-05-01_4_3,47,25.73105117131833
1387_2016-05-01_4_4,45,29.12521207274282
1387_2016-05-01_4_5,81,46.354362861475195
1387_2016-05-01_4_6,70,52.387186760253556
1387_2016-05-01_5_1,20,18.85580951022867
1387_2016-05-01_5_2,47,25.060824677949025
1387_2016-05-01_5_3,45,28.684380348540817
1387_2016-05-01_5_4,81,46.00004596371467
1387_2016-05-01_5_5,70,52.06582628927865
1387_2016-05-01_5_6,73,46.5128253469347
1387_2016-05-01_6_1,47,25.56472524394425
1387_2016-05-01_6_2,45,28.948066293417998
1387_2016-05-01_6_3,81,46.17348155732077
1387_2016-05-01_6_4,70,52.20522451793157
1387_2016-05-01_6_5,73,46.63925759077098
1387_2016-05-01_6_6,43,43.622827610518755
1387_2016-05-01_7_1,45,38.38814395391154
1387_2016-05-01_7_2,81,51.113376381024395
1387_2016-05-01_7_3,70,55.45436846263361
1387_2016-05-01_7_4,73,49.250745239370154
1387_2016-05-01_7_5,43,45.991410384875145
1387_2016-05-01_7_6,59,49.062159762587214
1387_2016-05-01_8_1,81,54.02523243444146
1387_2016-05-01_8_2,70,56.97811256336732
1387_2016-05-01_8_3,73,50.252965751114274
1387_2016-05-01_8_4,43,46.796941482338575
1387_2016-05-01_8_5,59,49.79276520224293
1387_2016-05-01_8_6,35,43.66858852226289
1387_2016-05-01_9_1,70,68.85777837547427
1387_2016-05-01_9_2,73,56.46947177607508
1387_2016-05-01_9_3,43,50.88575786994371
1387_2016-05-01_9_4,59,53.07913652815225
1387_2016-05-01_9_5,35,46.64928135336359
1387_2016-05-01_9_6,29,39.180989475721326
1387_2016-05-01_10_1,73,56.97250525540903
1387_2016-05-01_10_2,43,51.1489900773556
1387_2016-05-01_10_3,59,53.25227368254244
1387_2016-05-01_10_4,35,46.788439712580285
1387_2016-05-01_10_5,29,39.30720416133362
1387_2016-05-01_10_6,33,40.889881343867614
1387_2016-05-01_11_1,43,58.20748579593023
1387_2016-05-01_11_2,59,56.94591135347427
1387_2016-05-01_11_3,35,49.217876148118364
1387_2016-05-01_11_4,29,41.25985487562703
1387_2016-05-01_11_5,33,42.66090823296318
1387_2016-05-01_11_6,38,45.79887037443004
1387_2016-05-01_12_1,59,50.248546912466765
1387_2016-05-01_12_2,35,45.7132147327736
1387_2016-05-01_12_3,29,38.95471482259226
1387_2016-05-01_12_4,33,40.80816028481293
1387_2016-05-01_12_5,38,44.11845389703762
1387_2016-05-01_12_6,38,38.700330525955266
1387_2016-05-01_13_1,35,49.56734759221549
1387_2016-05-01_13_2,29,40.97154261225131
1387_2016-05-01_13_3,33,42.134699418568104
1387_2016-05-01_13_4,38,45.18465490941006
1387_2016-05-01_13_5,38,39.66735993283809
1387_2016-05-01_13_6,25,36.732020380493
1387_2016-05-01_14_1,29,34.55609451826002
1387_2016-05-01_14_2,33,38.777561906461024
1387_2016-05-01_14_3,38,42.97654655725352
1387_2016-05-01_14_4,38,37.89260086196712
1387_2016-05-01_14_5,25,35.122338724080564
1387_2016-05-01_14_6,25,35.724453603971675
1387_2016-05-01_15_1,33,36.33066237574243
1387_2016-05-01_15_2,38,41.69610938706951
1387_2016-05-01_15_3,38,37.05041194367034
1387_2016-05-01_15_4,25,34.445432438809526
1387_2016-05-01_15_5,25,35.11050907009399
1387_2016-05-01_15_6,21,36.41244484879373
1387_2016-05-01_16_1,38,40.229288371443864
1387_2016-05-01_16_2,38,36.28283970507394
1387_2016-05-01_16_3,25,33.940572967067354
1387_2016-05-01_16_4,25,34.704730102719274
1387_2016-05-01_16_5,21,36.04440900040079
1387_2016-05-01_16_6,20,37.65111560879091
1387_2016-05-01_17_1,38,35.301062909881715
1387_2016-05-01_17_2,25,33.426819343101
1387_2016-05-01_17_3,25,34.36681613168305
1387_2016-05-01_17_4,21,35.77281187307466
1387_2016-05-01_17_5,20,37.40478081272384
1387_2016-05-01_17_6,13,36.524108290055786
1387_2016-05-01_18_1,25,34.61542905403112
1387_2016-05-01_18_2,25,34.98880327729733
1387_2016-05-01_18_3,21,36.18191486817445
1387_2016-05-01_18_4,20,37.733595859668775
1387_2016-05-01_18_5,13,36.822338938996715
1387_2016-05-01_18_6,15,24.24999719851995
1387_2016-05-01_19_1,25,30.754176101204074
1387_2016-05-01_19_2,21,33.96597834521115
1387_2016-05-01_19_3,20,36.27609585361961
1387_2016-05-01_19_4,13,35.65087860100924
1387_2016-05-01_19_5,15,23.187499055407073
1387_2016-05-01_19_6,13,15.58586900344986
1387_2016-05-01_20_1,21,31.431843845620644
1387_2016-05-01_20_2,20,34.950009528134714
1387_2016-05-01_20_3,13,34.778664615009625
1387_2016-05-01_20_4,15,22.486460230984562
1387_2016-05-01_20_5,13,14.950036594067074
1387_2016-05-01_20_6,6,12.46019259273099
1387_2016-05-01_21_1,20,30.355833938340645
1387_2016-05-01_21_2,13,32.374580132719174
1387_2016-05-01_21_3,15,20.905208642245306
1387_2016-05-01_21_4,13,13.679111370808274
1387_2016-05-01_21_5,6,11.307481189741743
1387_2016-05-01_21_6,3,7.25375703930094
1387_2016-05-01_22_1,13,27.813879244595878
1387_2016-05-01_22_2,15,18.51864112448159
1387_2016-05-01_22_3,13,12.109381310614227
1387_2016-05-01_22_4,6,10.045816353218925
1387_2016-05-01_22_5,3,6.10944467757022
1387_2016-05-01_22_6,7,8.42461205818688
1387_2016-05-01_23_1,15,11.99462069023685
1387_2016-05-01_23_2,13,8.695429017855519
1387_2016-05-01_23_3,6,7.8003389057452175
1387_2016-05-01_23_4,3,4.304650332017356
1387_2016-05-01_23_5,7,6.787688827695874
1387_2016-05-01_23_6,14,14.544289181093548
1387_2016-05-02_0_1,13,10.018995634392093
1387_2016-05-02_0_2,6,8.492947601669247
1387_2016-05-02_0_3,3,4.760203624288131
1387_2016-05-02_0_4,7,7.153838132340766
1387_2016-05-02_0_5,14,14.876381479630615
1387_2016-05-02_0_6,45,33.73181999804273
1387_2016-05-02_1_1,6,9.805779512520257
1387_2016-05-02_1_2,3,5.447194959957589
1387_2016-05-02_1_3,7,7.605696687636829
1387_2016-05-02_1_4,14,15.239561152846894
1387_2016-05-02_1_5,45,34.06121888240578
1387_2016-05-02_1_6,68,53.13964641868772
1387_2016-05-02_2_1,3,3.771132741685502
1387_2016-05-02_2_2,7,6.728630695807404
1387_2016-05-02_2_3,14,14.662683758052454
1387_2016-05-02_2_4,45,33.59755577085967
1387_2016-05-02_2_5,68,52.71911046106919
1387_2016-05-02_2_6,53,43.919562433421326
1387_2016-05-02_3_1,7,6.389024460249178
1387_2016-05-02_3_2,14,14.484971333910826
1387_2016-05-02_3_3,45,33.48066800960058
